"message","created_time","id","store_name","story"
"As we were leaving just a few min ago a gentleman rushed up to the two Hispanic girls at the entry way. He told them he lost his child then described the child to them. Their response was OK we have not seen the child but, you can go to the service desk and tell them. The gentleman then walked off. My husband  then confronted the girls and told them they did not handle that very well and they should prob of got into contact with a manger right then. Their response.... Well that's his second time telling us. ARE YOU KIDDING ME!!!!  You need to address your missing child policy's with your employees!!! If you have a missing child the last thing you want is two girls have no care about it and just shoo you away! I can handle the team members  just standing around and avoiding people as they walk by all the time. But avoiding a missing child is not acceptable!!!","2016-10-01T16:06:39+0000","156654311084374_1134573156625813","Walmart5260",
"It was an outpouring of love, appreciation, school supplies and accordion music for Rogers New Technology HS Spanish teacher Martin Resendiz today. Selected as one of 20 teachers in the country for the Commander in Teach recognition from Walmart, Mr. Resendiz received supplies and a Walmart giftcard for $490, the average amount a teacher spends out of pocket for classroom supplies. Loved as a mentor, coach, and parent group leader, Mr. Resendiz was serenaded by one of his students playing his favorite song on the accordion while other students sang along. Thank you to Walmart Rogers - Pleasant Crossing Blvd and all those who recognize the hard work of teachers!!","2016-09-22T17:04:36+0000","156654311084374_1126369637446165","Walmart5260","Rogers Public Schools added 6 new photos."
"I want to brag on Tammy and the other lady working in your vision center this evening. They totally saved my week by fitting my existing lenses into new frames! So helpful and nice, and they had me out the door in my new glasses in under 10 minutes!","2016-09-21T23:50:54+0000","156654311084374_1125823847500744","Walmart5260",
"We  would just like to see THREE (3) things...  We love this pickup service!  \n\n1) But we wish we could schedule same day pickup online.  When we click on ""reserve a time"", there is never the ability to choose ""same day"".  \n\n2) After searching for an item, we wish you could sort the results by price.  That would save us the time of jumping to walmart.com to find the best deal.\n\n3) We like going to Pleasant Crossing because it is a Supercenter.  We live in Springdale and the newest Neighborhood Market has pickup, but we like ordering from a supercenter.  Wish you could have pickup at the Supercenter on Elm Springs Road.  That is VERY close to us and we'd like to keep our purchases in Springdale.\n\nWe love this service!  We think it saves us money.  Because we will take the time to find the best deal online.  When we're in the store, we don't want to take the time.  We just want to get home.  :)\n\nTHANK YOU WALMART !!!  We love you !!!","2016-08-17T15:39:58+0000","156654311084374_1092062860876843","Walmart5260",
"I was in store hours ago,do not desire anymore messages or conversations","2016-07-06T02:26:06+0000","156654311084374_1060945390655257","Walmart5260",
"I had a wonderful experience with an associate at your store! \nI called 3 other local Walmarts and none of them went above and beyond like Brianne did in the Crafts & Ribbons department! I called the store looking for a specific ribbon and was transferred to Brianne. She wasn't able to  locate it on the ribbon shelf for me right away so she then took my number and called me back shortly saying she had found what I was looking for after taking the time to search through the clearance carts for me!! I love shopping at your store because of the friendly and helpful associates there! It amazed me how much effort she put in helping me. Thank you!!","2016-06-15T18:03:11+0000","156654311084374_1047996785283451","Walmart5260",
"Thank you cart pusher Danny for walking me out to my car in the pouring rain when I had forgotten my umbrella and rain jacket today!! You're the real MVP ;)","2016-06-12T17:23:42+0000","156654311084374_1046107972138999","Walmart5260",
"The two associates currently working the newer BBQ counter in the deli deserve a huge kudos. I was highly skeptical about it but asked a few questions about it today. They were both on top of it, provided great information about bulk orders and provided samples for my wife and I which turned in to a lunch purchase for today and a planned future large order. That's the kind of customer service that drives sales.","2016-06-12T16:52:48+0000","156654311084374_1046094952140301","Walmart5260",
"Will we be required to purchase ""The Rainbow Comes and Goes"" onsite before the signing event this Saturday?  Or can we bring in our own copies?","2016-04-21T19:12:57+0000","156654311084374_1013926835357113","Walmart5260",
"Seriously 20 min In the pharmacy drive-through to simply pick up a prescription, that i gave you 5 hrs to fill. Fail. Sometimes you make it hard to like you.","2016-04-10T23:40:14+0000","156654311084374_1007527265997070","Walmart5260",
"Does your store still have a pharmacy drive thru?  If so, how is it accessed?","2016-04-09T17:45:01+0000","156654311084374_1006782929404837","Walmart5260",
"Why is 5260 always out of San Pellegrino water ?  I can find on shelf at the Pinnacle NHM but never at 5260 ?","2016-02-14T00:48:41+0000","156654311084374_968934353189695","Walmart5260",
"Your CSM Karina needs to learn her coupon lingo. When a coupon reads ""limit one coupon per purchase"" that does not mean that I can't use 5 coupons for 5 of the same item. This just means I can't use 5 coupons for the purchase of 1 item. I had over 50 coupons which is what prompted the CSM to come to the register I was at. Please take the time and teach people how to read coupons so that other people are not frustrated as I was today. I also had to wait an extra 10 min for the CSM to come over which the ladies behind me where trying to save them down because they had somewhere to be too. I like the atmosphere of this store, but the management needs to be improved.","2016-02-13T23:05:27+0000","156654311084374_968881306528333","Walmart5260",
"Your pharmacy sucks. I had to wait over an hour for meds to be ready when I called them and showed up at the appointed times. Trained Monkeys can do a better job and be more efficient.","2016-02-11T20:21:19+0000","156654311084374_967649989984798","Walmart5260",
"Hi, is the crawfish sold at this location only or another walmart as well? Do you know about of other states? How can I find out? Thank you.","2016-02-06T23:20:47+0000","156654311084374_965112670238530","Walmart5260",
"This lady is an Angel she is like my own family shes cool","2016-02-06T05:54:46+0000","156654311084374_964705310279266","Walmart5260",
"To many self checkouts and the cashier tonight on register 2 talked more than he worked.","2015-12-31T01:53:13+0000","156654311084374_945065865576544","Walmart5260",
"Really disappointed Walmart! Came in this morning to fill up balloons for my son's 4th birthday ( like I've done ever year since his first birthday!) and you are out of helium! This made both my son and me sad! He said ""is this a bad Walmart?""","2015-12-28T14:14:46+0000","156654311084374_943611725721958","Walmart5260",
"I have to say, we need more CSMs like your Kassandra!  She is amazing and saved my Gbabies Christmas!  \nTHANK YOU! !!","2015-12-21T05:05:32+0000","156654311084374_939176906165440","Walmart5260",
"When is Santa going to be there.","2015-12-12T16:10:59+0000","156654311084374_935108609905603","Walmart5260",
"The Annual Event was ran exceptional well this year. I was very impressed on how organized the store was and the amount of staff that was there.","2015-11-27T02:49:11+0000","156654311084374_927913557291775","Walmart5260",
"You all shouldn't have combined photo with electronics! The wait time to get photos are super long when you are waiting for someone to get a phone activated that's ahead of you!","2015-11-16T16:46:32+0000","156654311084374_923783074371490","Walmart5260",
"Congratulations. I have been waiting over 20 minutes for assistance in jewelry. Glad to see you love your customers.","2015-11-02T04:14:05+0000","156654311084374_918114111605053","Walmart5260",
"Is there any way the vendors and Walmart corporate people could move their meetings to a meeting room vs a main aisle in the store? They are ALWAYS in the way and quite rude..","2015-10-30T17:18:14+0000","156654311084374_917194738363657","Walmart5260",
"Are tickets needed for the Ree Drummond book signing on Friday?","2015-10-27T12:07:44+0000","156654311084374_915949121821552","Walmart5260",
"I came into the store this evening to have a prescription filled. My son's doctor gave me the prescription at our last visit and wrote ""do not fill before 10/5/15"" on it. After I waited the 45 minutes that I was told it would take, it still had not been filled because, apparently, your pharmacist and clerk don't know that October is the tenth month or that the 24th day of the month is after the 5th. I was extremely frustrated to say the least. This is not the first time something like this has happened at this location. I understand that it was a busy evening in the pharmacy, but the tenth month is definitely October and it is definitely past the 5th, but my child is still without his medication.","2015-10-25T03:47:19+0000","156654311084374_915013915248406","Walmart5260",
"What a terrible pharmacy experience! Carolyn didn't seem to know what was going on. Not only did it take 5 mins for someone to acknowledge  me but them she told me my prescription is over the counter but couldn't tell me where it was or what it was. I asked if they couldn't fill it and she said ""sure but I'm just going to grab it off the counter"" I'm already in pain I don't need the sass after being ignored. And now more waiting as I'm not sure they even know what they are filling. Horrible service!","2015-10-24T16:21:53+0000","156654311084374_914831271933337","Walmart5260",
"I don't see Cadbury Screme Eggs this year...why not?","2015-10-20T23:29:09+0000","156654311084374_913291358753995","Walmart5260",
"Just had an awesome experience getting my oil changed over lunch.  Thanks!","2015-10-19T18:39:09+0000","156654311084374_912842688798862","Walmart5260",
"Went to buy dairy free ice cream today and it was no where to be found. The sales associate could not find it anywhere either. It was moved or gotten rid of since the remodeling. Please bring it back.","2015-10-18T18:48:14+0000","156654311084374_912463828836748","Walmart5260",
"I like the inside of the store,  but the outside is terribly UGLY! That bright blue just ruins and cheapens the look of the store. Looked much better before with the neutral colors. Not sure that the new metal pole sign displays for home, grocery,  etc. were worth the trouble either, doesn't add that much. SORRY, but you asked what we thought! !","2015-10-17T00:22:07+0000","156654311084374_911775438905587","Walmart5260",
"Is there anything going on now, or does it start at 4pm?","2015-10-16T19:36:06+0000","156654311084374_911700375579760","Walmart5260",
"Loved your grand opening today! The store looks great!! Love it","2015-10-15T00:16:03+0000","156654311084374_911067488976382","Walmart5260",
"Shout out to Tabitha in the deli for providing fantastic customer service with a smile this evening!","2015-10-14T23:18:04+0000","156654311084374_911053642311100","Walmart5260",
"Yesss.... Our good ol' boys are back! Get some groceries and get your groove on with BACKROAD ANTHEM at Walmart Rogers - Pleasant Crossing Blvd  on Wednesday night.","2015-10-12T16:55:13+0000","156654311084374_910144119068719","Walmart5260","VendorMasters shared Backroad Anthem's photo."
"Will your store be participating in the America's Biggest Health Fair demo event on Saturday, Oct.10?","2015-10-07T19:23:49+0000","156654311084374_907866762629788","Walmart5260",
"I love our new store! The colors are vibrant, and, even though it's undergoing remodeling, it's very welcoming and organized.","2015-10-05T15:08:17+0000","156654311084374_907032332713231","Walmart5260",
"The new remodel has made me lose faith in Walmart. If I'm spending money in your store, then have the decency to check me out - DON'T MAKE ME DO IT MYSELF. I'm waiting in line today at one of the two checkers because I REFUSE to check myself out. I'm spending over $100 today. This is completely ridiculous.","2015-09-11T14:05:20+0000","156654311084374_895390930544038","Walmart5260",
"Quite possibly the worst experience I have ever had with this pharmacy. Had a prescription sent over for my 4 year old son. Check in first thing and was told it was bumped to the top of the priority list. Great, thanks! Still standing here an hour later waiting. But only after watching 2 pharmacy technicians laugh and joke while 3 customers were waiting. I also am a pharmacy tech. I know how long it takes to measure out water  and put in it a bottle to shake. I am at this pharmacy's mercy and it's absolutely ridiculous. Will be taking my prescriptions elsewhere from now on.","2015-08-27T18:50:31+0000","156654311084374_888411211242010","Walmart5260",
