"message","created_time","id","store_name","story"
"Do better, Walmart. http://bit.ly/2dHmjv7","2016-10-04T17:32:59+0000","159616034235_10154721549844236","walmart",
"Why on earth would your Web page\n\n https://www.walmart.com/ip/Dt-Pepsi-Classic-12z-Can-12fm/144021856\n\nand app say ""This product is being replaced by Diet Pepsi (Aspartame Free)."", when Diet Pepsi Classic Sweetener Blend Cola was released specifically due to the protest against the Aspartame Free version and resultant drop in sales of the same?","2016-10-04T17:26:50+0000","159616034235_1305953686082391","walmart",
"I brought up a legitimate safety concern and apparently you deleted it.  Not cool!","2016-10-04T17:12:51+0000","159616034235_10154721504444236","walmart",
"Tengo el honor de compartirles que este sábado 8 estaremos develando la escultura ""Angel of Vision"" a Sam Walton, dueño de la cadena de tiendas Walmart, quien en 1985 creó un fondo de becas para que estudiantes sobresalientes de Centroamérica pudieran recibir educación universitaria en tres distintas universidades cristianas de Arkansas. Desde ese entonces decenas de hombres y mujeres de Guatemala, El Salvador, Honduras, Nicaragua, Costa Rica, Belice y Panamá han sido beneficiados con este gran regalo.\nLa Universidad llega a sus 100 años de fundación en el 2019, por lo que los Ex-Walton se unen para dejar un recuerdo perenne del agradecimiento a la Familia Walton y a John Brown University por el legado.\nLes estaré compartiendo más fotos durante la semana e inauguración, espero les guste!","2016-10-04T17:10:29+0000","159616034235_10154721499509236","walmart","Pepo Toledo added 2 new photos."
"I am shocked at how bad customer service has become at Walmart. I went to shop at the neighborhood market in Spring Hill FL last night. I spent a good 30 minutes shopping in this store. When I got to the bread aisle, which was one of the main reasons for going there, they had NO white bread. The excuse I got from the assistant manager was that there was inventory so no vendors were there yesterday. This I terrible customer service and I walked out leaving about $200 worth of groceries behind","2016-10-04T17:09:33+0000","159616034235_10154721496869236","walmart",
"Tengo el honor de compartirles que este sábado 8 estaremos develando la escultura ""Angel of Vision"" a Sam Walton, dueño de la cadena de tiendas Walmart, quien en 1985 creó un fondo de becas para que estudiantes sobresalientes de Centroamérica pudieran recibir educación universitaria en tres distintas universidades cristianas de Arkansas. Desde ese entonces decenas de hombres y mujeres de Guatemala, El Salvador, Honduras, Nicaragua, Costa Rica, Belice y Panamá han sido beneficiados con este gran regalo.\nLa Universidad llega a sus 100 años de fundación en el 2019, por lo que los Ex-Walton se unen para dejar un recuerdo perenne del agradecimiento a la Familia Walton y a John Brown University por el legado.\nLes estaré compartiendo más fotos durante la semana e inauguración, espero les guste!","2016-10-04T17:08:35+0000","159616034235_10154721494574236","walmart","Pepo Toledo added 2 new photos."
"I will not be back into any Wal-Mart stores seeing that Wal-Mart endorsed Hillary Clinton I don't support anyone that supports lying murder and many other crimes that hurt the American people. I'm done with ya .","2016-10-04T16:43:55+0000","159616034235_10154721434404236","walmart",
"I'm sharing my 5 tips for healthy hair with Suave Beauty and Walmart #SuaveBeliever #pmgSuave #Pmedia #ad ---> www.elementsofellis.com/tips-for-healthy-hair/","2016-10-04T16:37:02+0000","159616034235_10154721416259236","walmart",
"I have updated all of my dishes and glasses to some from your line and the quality is really not what I would expect. Then again it is from walmart. So many chips in the bowls and I have had two glass bowls break now... I replaced one but now I am about to replacement with something else, I am just super frustrated over all the money I have spent on this line and it is garbage! I bought most of it last fall so I do not have receipts or packaging but something needs to be done for your fans. I am certain that I am not the only one, the bottoms of the bowls stain so easy too!","2016-10-04T16:33:06+0000","159616034235_10154721405189236","walmart",
"hey walmart can the walmart in franklin new jersey in sussex county on route 23 please put led parking lot light poles in and please put 6 self checkout machines looking like this . ","2016-10-04T16:13:10+0000","159616034235_1385757754771735","walmart",
